league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
EPL,30,Sat,2019-03-09,15:00 (23:00),Newcastle Utd,2.3,3–2,1.0,Everton,"52,242",St. James' Park,Lee Mason,Match Report,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats,https://fbref.com/en/matches/09e7b1a1/Newcastle-United-Everton-March-9-2019-Premier-League,https://fbref.com/en/matches/09e7b1a1/Newcastle-United-Everton-March-9-2019-Premier-League
EPL,30,Sat,2019-03-09,15:00 (23:00),Leicester City,2.0,3–1,0.2,Fulham,"32,017",King Power Stadium,David Coote,Match Report,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats,https://fbref.com/en/matches/81a25590/Leicester-City-Fulham-March-9-2019-Premier-League,https://fbref.com/en/matches/81a25590/Leicester-City-Fulham-March-9-2019-Premier-League
EPL,30,Sat,2019-03-09,15:00 (23:00),Southampton,1.2,2–1,1.0,Tottenham,"31,890",St. Mary's Stadium,Kevin Friend,Match Report,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/f3bf8c42/Southampton-Tottenham-Hotspur-March-9-2019-Premier-League,https://fbref.com/en/matches/f3bf8c42/Southampton-Tottenham-Hotspur-March-9-2019-Premier-League
EPL,30,Sat,2019-03-09,15:00 (23:00),Cardiff City,2.9,2–0,0.3,West Ham,"32,458",Cardiff City Stadium,Graham Scott,Match Report,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,https://fbref.com/en/matches/1ad3de71/Cardiff-City-West-Ham-United-March-9-2019-Premier-League,https://fbref.com/en/matches/1ad3de71/Cardiff-City-West-Ham-United-March-9-2019-Premier-League
EPL,30,Sat,2019-03-09,15:00 (23:00),Huddersfield,0.4,0–2,2.2,Bournemouth,"22,304",The John Smith's Stadium,Anthony Taylor,Match Report,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,https://fbref.com/en/matches/7c7a736a/Huddersfield-Town-Bournemouth-March-9-2019-Premier-League,https://fbref.com/en/matches/7c7a736a/Huddersfield-Town-Bournemouth-March-9-2019-Premier-League
EPL,30,Sat,2019-03-09,17:30 (01:30),Manchester City,3.2,3–1,0.5,Watford,"54,104",Etihad Stadium,Paul Tierney,Match Report,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats,https://fbref.com/en/matches/4fe0f757/Manchester-City-Watford-March-9-2019-Premier-League,https://fbref.com/en/matches/4fe0f757/Manchester-City-Watford-March-9-2019-Premier-League
EPL,30,Sun,2019-03-10,12:00 (20:00),Liverpool,4.5,4–2,0.3,Burnley,"53,310",Anfield,Andre Marriner,Match Report,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats,https://fbref.com/en/matches/d4a6df35/Liverpool-Burnley-March-10-2019-Premier-League,https://fbref.com/en/matches/d4a6df35/Liverpool-Burnley-March-10-2019-Premier-League
EPL,30,Sun,2019-03-10,14:05 (22:05),Chelsea,1.5,1–1,0.2,Wolves,"40,692",Stamford Bridge,Michael Oliver,Match Report,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats,https://fbref.com/en/matches/e39bc237/Chelsea-Wolverhampton-Wanderers-March-10-2019-Premier-League,https://fbref.com/en/matches/e39bc237/Chelsea-Wolverhampton-Wanderers-March-10-2019-Premier-League
EPL,30,Sun,2019-03-10,16:30 (00:30),Arsenal,1.5,2–0,1.6,Manchester Utd,"60,000",Emirates Stadium,Jonathan Moss,Match Report,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats,https://fbref.com/en/matches/6a9904c8/Arsenal-Manchester-United-March-10-2019-Premier-League,https://fbref.com/en/matches/6a9904c8/Arsenal-Manchester-United-March-10-2019-Premier-League
EPL,31,Sat,2019-03-16,15:00 (23:00),Burnley,1.6,1–2,0.7,Leicester City,"20,719",Turf Moor,Michael Oliver,Match Report,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats,https://fbref.com/en/matches/91a19d8e/Burnley-Leicester-City-March-16-2019-Premier-League,https://fbref.com/en/matches/91a19d8e/Burnley-Leicester-City-March-16-2019-Premier-League
