date,match_link,home,away,home_elo,away_elo
2018-12-04,https://fbref.com/en/matches/044b4b5a/West-Ham-United-Cardiff-City-December-4-2018-Premier-League,West Ham,Cardiff City,1680.39282227,1553.89758301
2018-12-04,https://fbref.com/en/matches/98f1ef21/Bournemouth-Huddersfield-Town-December-4-2018-Premier-League,Bournemouth,Huddersfield,1679.39013672,1560.92053223
2018-12-04,https://fbref.com/en/matches/07d048d9/Brighton-and-Hove-Albion-Crystal-Palace-December-4-2018-Premier-League,Brighton,Crystal Palace,1636.02722168,1648.05883789
2018-12-04,https://fbref.com/en/matches/bc25da05/Watford-Manchester-City-December-4-2018-Premier-League,Watford,Manchester City,1637.39892578,1997.16931152
2018-12-05,https://fbref.com/en/matches/6106db5b/Fulham-Leicester-City-December-5-2018-Premier-League,Fulham,Leicester City,1579.2668457,1688.12646484
2018-12-05,https://fbref.com/en/matches/1f0139bd/Wolverhampton-Wanderers-Chelsea-December-5-2018-Premier-League,Wolves,Chelsea,1593.46276855,1866.80480957
2018-12-05,https://fbref.com/en/matches/e222777c/Burnley-Liverpool-December-5-2018-Premier-League,Burnley,Liverpool,1623.32568359,1913.66772461
2018-12-05,https://fbref.com/en/matches/eda94231/Everton-Newcastle-United-December-5-2018-Premier-League,Everton,Newcastle Utd,1710.76989746,1633.87097168
2018-12-05,https://fbref.com/en/matches/85f0d560/Tottenham-Hotspur-Southampton-December-5-2018-Premier-League,Tottenham,Southampton,1905.73852539,1618.58447266
2018-12-05,https://fbref.com/en/matches/12fa1e2f/Manchester-United-Arsenal-December-5-2018-Premier-League,Manchester Utd,Arsenal,1849.17590332,1842.68347168
2018-12-08,https://fbref.com/en/matches/f7799c66/Bournemouth-Liverpool-December-8-2018-Premier-League,Bournemouth,Liverpool,1679.39013672,1916.16931152
2018-12-08,https://fbref.com/en/matches/8e964f90/Cardiff-City-Southampton-December-8-2018-Premier-League,Cardiff City,Southampton,1561.8248291,1618.58447266
2018-12-08,https://fbref.com/en/matches/6d8dc23c/Burnley-Brighton-and-Hove-Albion-December-8-2018-Premier-League,Burnley,Brighton,1614.72827148,1646.06506348
2018-12-08,https://fbref.com/en/matches/56b98f03/Manchester-United-Fulham-December-8-2018-Premier-League,Manchester Utd,Fulham,1849.17590332,1577.03015137
2018-12-08,https://fbref.com/en/matches/3b59adbe/West-Ham-United-Crystal-Palace-December-8-2018-Premier-League,West Ham,Crystal Palace,1680.39282227,1646.6184082
2018-12-08,https://fbref.com/en/matches/9bcabb8e/Arsenal-Huddersfield-Town-December-8-2018-Premier-League,Arsenal,Huddersfield,1854.08227539,1552.93151855
2018-12-08,https://fbref.com/en/matches/0ae205b0/Chelsea-Manchester-City-December-8-2018-Premier-League,Chelsea,Manchester City,1866.80480957,1999.00805664
2018-12-08,https://fbref.com/en/matches/703d629f/Leicester-City-Tottenham-Hotspur-December-8-2018-Premier-League,Leicester City,Tottenham,1695.91308594,1894.33972168
2018-12-09,https://fbref.com/en/matches/3fabd313/Newcastle-United-Wolverhampton-Wanderers-December-9-2018-Premier-League,Newcastle Utd,Wolves,1637.57763672,1606.69262695
2018-12-10,https://fbref.com/en/matches/e05a45bf/Everton-Watford-December-10-2018-Premier-League,Everton,Watford,1708.26818848,1635.46264648
2018-12-15,https://fbref.com/en/matches/53e034c9/Manchester-City-Everton-December-15-2018-Premier-League,Manchester City,Everton,1989.20678711,1702.20080566
2018-12-15,https://fbref.com/en/matches/f2f44842/Wolverhampton-Wanderers-Bournemouth-December-15-2018-Premier-League,Wolves,Bournemouth,1618.50744629,1676.78112793
2018-12-15,https://fbref.com/en/matches/afb65f17/Huddersfield-Town-Newcastle-United-December-15-2018-Premier-League,Huddersfield,Newcastle Utd,1548.90563965,1628.10668945
2018-12-15,https://fbref.com/en/matches/514e90fd/Watford-Cardiff-City-December-15-2018-Premier-League,Watford,Cardiff City,1640.16723633,1565.64733887
2018-12-15,https://fbref.com/en/matches/c63dd378/Crystal-Palace-Leicester-City-December-15-2018-Premier-League,Crystal Palace,Leicester City,1642.23693848,1689.03894043
2018-12-15,https://fbref.com/en/matches/a539bb48/Tottenham-Hotspur-Burnley-December-15-2018-Premier-League,Tottenham,Burnley,1909.78149414,1619.39733887
