week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
18,Sat,2017-12-16,15:00 (23:00),Chelsea,1.4,1–0,0.6,Southampton,"41,562",Stamford Bridge,Roger East,Match Report,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats,https://fbref.com/en/matches/cd98063b/Chelsea-Southampton-December-16-2017-Premier-League,https://fbref.com/en/matches/cd98063b/Chelsea-Southampton-December-16-2017-Premier-League
18,Sat,2017-12-16,15:00 (23:00),Brighton,1.4,0–0,1.6,Burnley,"29,921",The American Express Community Stadium,Chris Kavanagh,Match Report,https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats,https://fbref.com/en/matches/4365b452/Brighton-and-Hove-Albion-Burnley-December-16-2017-Premier-League,https://fbref.com/en/matches/4365b452/Brighton-and-Hove-Albion-Burnley-December-16-2017-Premier-League
18,Sat,2017-12-16,16:00 (00:00),Stoke City,1.2,0–3,3.1,West Ham,"29,265",Bet365 Stadium,Graham Scott,Match Report,https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats,https://fbref.com/en/squads/7c21e445/2017-2018/West-Ham-United-Stats,https://fbref.com/en/matches/17329e19/Stoke-City-West-Ham-United-December-16-2017-Premier-League,https://fbref.com/en/matches/17329e19/Stoke-City-West-Ham-United-December-16-2017-Premier-League
18,Sat,2017-12-16,17:30 (01:30),Manchester City,4.4,4–1,0.3,Tottenham,"54,214",Etihad Stadium,Craig Pawson,Match Report,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/6b423cc3/Manchester-City-Tottenham-Hotspur-December-16-2017-Premier-League,https://fbref.com/en/matches/6b423cc3/Manchester-City-Tottenham-Hotspur-December-16-2017-Premier-League
18,Sun,2017-12-17,14:15 (22:15),West Brom,1.3,1–2,0.7,Manchester Utd,"24,782",The Hawthorns,Anthony Taylor,Match Report,https://fbref.com/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats,https://fbref.com/en/matches/097569a9/West-Bromwich-Albion-Manchester-United-December-17-2017-Premier-League,https://fbref.com/en/matches/097569a9/West-Bromwich-Albion-Manchester-United-December-17-2017-Premier-League
18,Sun,2017-12-17,16:30 (00:30),Bournemouth,0.8,0–4,2.2,Liverpool,"10,780",Vitality Stadium,Andre Marriner,Match Report,https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats,https://fbref.com/en/matches/790f1ce3/Bournemouth-Liverpool-December-17-2017-Premier-League,https://fbref.com/en/matches/790f1ce3/Bournemouth-Liverpool-December-17-2017-Premier-League
18,Mon,2017-12-18,20:00 (04:00),Everton,2.2,3–1,0.6,Swansea City,"37,580",Goodison Park,Jonathan Moss,Match Report,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats,https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats,https://fbref.com/en/matches/34b9d0ea/Everton-Swansea-City-December-18-2017-Premier-League,https://fbref.com/en/matches/34b9d0ea/Everton-Swansea-City-December-18-2017-Premier-League
19,Fri,2017-12-22,19:45 (03:45),Arsenal,1.1,3–3,2.1,Liverpool,"59,409",Emirates Stadium,Martin Atkinson,Match Report,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats,https://fbref.com/en/matches/12c55371/Arsenal-Liverpool-December-22-2017-Premier-League,https://fbref.com/en/matches/12c55371/Arsenal-Liverpool-December-22-2017-Premier-League
19,Sat,2017-12-23,12:30 (20:30),Everton,0.3,0–0,1.8,Chelsea,"39,191",Goodison Park,Robert Madley,Match Report,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,https://fbref.com/en/matches/317b694e/Everton-Chelsea-December-23-2017-Premier-League,https://fbref.com/en/matches/317b694e/Everton-Chelsea-December-23-2017-Premier-League
19,Sat,2017-12-23,15:00 (23:00),Southampton,1.4,1–1,1.0,Huddersfield,"29,675",St. Mary's Stadium,Lee Probert,Match Report,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats,https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,https://fbref.com/en/matches/6ea3edf9/Southampton-Huddersfield-Town-December-23-2017-Premier-League,https://fbref.com/en/matches/6ea3edf9/Southampton-Huddersfield-Town-December-23-2017-Premier-League
