time,week,day,date,home,home_xg,score,away_xg,away,attendance,venue,referee,home_link,away_link,match_link,report_link
20:00 (04:00),23,Tue,2017-01-31,Liverpool,1–1,Chelsea,"53,157",Anfield,Mark Clattenburg,Match Report,,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/matches/88d45505/Liverpool-Chelsea-January-31-2017-Premier-League,https://fbref.com/en/matches/88d45505/Liverpool-Chelsea-January-31-2017-Premier-League
19:45 (03:45),23,Wed,2017-02-01,West Ham,0–4,Manchester City,"56,980",London Stadium,Kevin Friend,Match Report,,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/matches/eee46a6a/West-Ham-United-Manchester-City-February-1-2017-Premier-League,https://fbref.com/en/matches/eee46a6a/West-Ham-United-Manchester-City-February-1-2017-Premier-League
20:00 (04:00),23,Wed,2017-02-01,Stoke City,1–1,Everton,"27,612",Bet365 Stadium,Craig Pawson,Match Report,,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/matches/2a495ac8/Stoke-City-Everton-February-1-2017-Premier-League,https://fbref.com/en/matches/2a495ac8/Stoke-City-Everton-February-1-2017-Premier-League
20:00 (04:00),23,Wed,2017-02-01,Manchester Utd,0–0,Hull City,"75,297",Old Trafford,Mike Jones,Match Report,,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/matches/05358492/Manchester-United-Hull-City-February-1-2017-Premier-League,https://fbref.com/en/matches/05358492/Manchester-United-Hull-City-February-1-2017-Premier-League
12:30 (20:30),24,Sat,2017-02-04,Chelsea,3–1,Arsenal,"41,490",Stamford Bridge,Martin Atkinson,Match Report,,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/matches/748207ea/North-West-London-Derby-Chelsea-Arsenal-February-4-2017-Premier-League,https://fbref.com/en/matches/748207ea/North-West-London-Derby-Chelsea-Arsenal-February-4-2017-Premier-League
15:00 (23:00),24,Sat,2017-02-04,Crystal Palace,0–4,Sunderland,"25,310",Selhurst Park,Andre Marriner,Match Report,,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/matches/501e50db/Crystal-Palace-Sunderland-February-4-2017-Premier-League,https://fbref.com/en/matches/501e50db/Crystal-Palace-Sunderland-February-4-2017-Premier-League
15:00 (23:00),24,Sat,2017-02-04,Everton,6–3,Bournemouth,"39,026",Goodison Park,Mike Jones,Match Report,,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/matches/44aa1ccd/Everton-Bournemouth-February-4-2017-Premier-League,https://fbref.com/en/matches/44aa1ccd/Everton-Bournemouth-February-4-2017-Premier-League
15:00 (23:00),24,Sat,2017-02-04,Southampton,1–3,West Ham,"31,891",St. Mary's Stadium,Graham Scott,Match Report,,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/matches/f9837b6c/Southampton-West-Ham-United-February-4-2017-Premier-League,https://fbref.com/en/matches/f9837b6c/Southampton-West-Ham-United-February-4-2017-Premier-League
15:00 (23:00),24,Sat,2017-02-04,West Brom,1–0,Stoke City,"23,921",The Hawthorns,Kevin Friend,Match Report,,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/matches/438f6c76/West-Bromwich-Albion-Stoke-City-February-4-2017-Premier-League,https://fbref.com/en/matches/438f6c76/West-Bromwich-Albion-Stoke-City-February-4-2017-Premier-League
15:00 (23:00),24,Sat,2017-02-04,Hull City,2–0,Liverpool,"24,822",Kingston Communications Stadium,Lee Mason,Match Report,,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/matches/d4011f7a/Hull-City-Liverpool-February-4-2017-Premier-League,https://fbref.com/en/matches/d4011f7a/Hull-City-Liverpool-February-4-2017-Premier-League
15:00 (23:00),24,Sat,2017-02-04,Watford,2–1,Burnley,"20,178",Vicarage Road Stadium,Michael Oliver,Match Report,,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/f7541d55/Watford-Burnley-February-4-2017-Premier-League,https://fbref.com/en/matches/f7541d55/Watford-Burnley-February-4-2017-Premier-League
17:30 (01:30),24,Sat,2017-02-04,Tottenham,1–0,Middlesbrough,"31,949",White Hart Lane,Mark Clattenburg,Match Report,,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/matches/2be92889/Tottenham-Hotspur-Middlesbrough-February-4-2017-Premier-League,https://fbref.com/en/matches/2be92889/Tottenham-Hotspur-Middlesbrough-February-4-2017-Premier-League
13:30 (21:30),24,Sun,2017-02-05,Manchester City,2–1,Swansea City,"54,065",Etihad Stadium,Mike Dean,Match Report,,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/matches/d821b623/Manchester-City-Swansea-City-February-5-2017-Premier-League,https://fbref.com/en/matches/d821b623/Manchester-City-Swansea-City-February-5-2017-Premier-League
16:00 (00:00),24,Sun,2017-02-05,Leicester City,0–3,Manchester Utd,"32,072",King Power Stadium,Anthony Taylor,Match Report,,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/matches/08425a34/Leicester-City-Manchester-United-February-5-2017-Premier-League,https://fbref.com/en/matches/08425a34/Leicester-City-Manchester-United-February-5-2017-Premier-League
12:30 (20:30),25,Sat,2017-02-11,Arsenal,2–0,Hull City,"59,962",Emirates Stadium,Mark Clattenburg,Match Report,,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/matches/37825164/Arsenal-Hull-City-February-11-2017-Premier-League,https://fbref.com/en/matches/37825164/Arsenal-Hull-City-February-11-2017-Premier-League
15:00 (23:00),25,Sat,2017-02-11,Manchester Utd,2–0,Watford,"75,301",Old Trafford,Robert Madley,Match Report,,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/matches/00e2d14e/Manchester-United-Watford-February-11-2017-Premier-League,https://fbref.com/en/matches/00e2d14e/Manchester-United-Watford-February-11-2017-Premier-League
15:00 (23:00),25,Sat,2017-02-11,West Ham,2–2,West Brom,"56,983",London Stadium,Michael Oliver,Match Report,,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/dc9bdc17/West-Ham-United-West-Bromwich-Albion-February-11-2017-Premier-League,https://fbref.com/en/matches/dc9bdc17/West-Ham-United-West-Bromwich-Albion-February-11-2017-Premier-League
15:00 (23:00),25,Sat,2017-02-11,Sunderland,0–4,Southampton,"39,931",Stadium of Light,Paul Tierney,Match Report,,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/matches/d08accdc/Sunderland-Southampton-February-11-2017-Premier-League,https://fbref.com/en/matches/d08accdc/Sunderland-Southampton-February-11-2017-Premier-League
15:00 (23:00),25,Sat,2017-02-11,Stoke City,1–0,Crystal Palace,"27,007",Bet365 Stadium,Martin Atkinson,Match Report,,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/matches/c91837f4/Stoke-City-Crystal-Palace-February-11-2017-Premier-League,https://fbref.com/en/matches/c91837f4/Stoke-City-Crystal-Palace-February-11-2017-Premier-League
15:00 (23:00),25,Sat,2017-02-11,Middlesbrough,0–0,Everton,"31,496",Riverside Stadium,Mike Dean,Match Report,,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/matches/1a4c847d/Middlesbrough-Everton-February-11-2017-Premier-League,https://fbref.com/en/matches/1a4c847d/Middlesbrough-Everton-February-11-2017-Premier-League
17:30 (01:30),25,Sat,2017-02-11,Liverpool,2–0,Tottenham,"53,159",Anfield,Anthony Taylor,Match Report,,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/4f08e940/Liverpool-Tottenham-Hotspur-February-11-2017-Premier-League,https://fbref.com/en/matches/4f08e940/Liverpool-Tottenham-Hotspur-February-11-2017-Premier-League
13:30 (21:30),25,Sun,2017-02-12,Burnley,1–1,Chelsea,"21,744",Turf Moor,Kevin Friend,Match Report,,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/matches/3b1a2aaa/Burnley-Chelsea-February-12-2017-Premier-League,https://fbref.com/en/matches/3b1a2aaa/Burnley-Chelsea-February-12-2017-Premier-League
16:00 (00:00),25,Sun,2017-02-12,Swansea City,2–0,Leicester City,"20,391",Liberty Stadium,Jonathan Moss,Match Report,,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/matches/0a0a4140/Swansea-City-Leicester-City-February-12-2017-Premier-League,https://fbref.com/en/matches/0a0a4140/Swansea-City-Leicester-City-February-12-2017-Premier-League
20:00 (04:00),25,Mon,2017-02-13,Bournemouth,0–2,Manchester City,"11,129",Vitality Stadium,Niel Swarbrick,Match Report,,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/matches/f88251a8/Bournemouth-Manchester-City-February-13-2017-Premier-League,https://fbref.com/en/matches/f88251a8/Bournemouth-Manchester-City-February-13-2017-Premier-League
15:00 (23:00),26,Sat,2017-02-25,Hull City,1–1,Burnley,"20,156",Kingston Communications Stadium,Martin Atkinson,Match Report,,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/matches/b632fb2c/Hull-City-Burnley-February-25-2017-Premier-League,https://fbref.com/en/matches/b632fb2c/Hull-City-Burnley-February-25-2017-Premier-League
