league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
ISA,32,Thu,2021-04-22,20:45 (02:45),Napoli,1.5,5–2,1.7,Lazio,,Stadio San Paolo,Marco Di Bello,Match Report,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats,https://fbref.com/en/matches/754b4ecd/Napoli-Lazio-April-22-2021-Serie-A,https://fbref.com/en/matches/754b4ecd/Napoli-Lazio-April-22-2021-Serie-A
ISA,33,Sat,2021-04-24,15:00 (21:00),Genoa,1.7,2–0,0.6,Spezia,,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,Match Report,https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats,https://fbref.com/en/matches/a7c2b8b7/Genoa-Spezia-April-24-2021-Serie-A,https://fbref.com/en/matches/a7c2b8b7/Genoa-Spezia-April-24-2021-Serie-A
ISA,33,Sat,2021-04-24,18:00 (00:00),Parma,1.7,3–4,2.6,Crotone,,Stadio Ennio Tardini,Antonio Rapuano,Match Report,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats,https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats,https://fbref.com/en/matches/03fe0915/Parma-Crotone-April-24-2021-Serie-A,https://fbref.com/en/matches/03fe0915/Parma-Crotone-April-24-2021-Serie-A
ISA,33,Sat,2021-04-24,20:45 (02:45),Sassuolo,1.4,1–0,1.5,Sampdoria,,Stadio Città del Tricolore,Matteo Gariglio,Match Report,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,https://fbref.com/en/matches/6c97d0e1/Sassuolo-Sampdoria-April-24-2021-Serie-A,https://fbref.com/en/matches/6c97d0e1/Sassuolo-Sampdoria-April-24-2021-Serie-A
ISA,33,Sun,2021-04-25,12:30 (18:30),Benevento,2.7,2–4,1.1,Udinese,,Stadio Ciro Vigorito,Maurizio Mariani,Match Report,https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats,https://fbref.com/en/matches/a67b34df/Benevento-Udinese-April-25-2021-Serie-A,https://fbref.com/en/matches/a67b34df/Benevento-Udinese-April-25-2021-Serie-A
ISA,33,Sun,2021-04-25,15:00 (21:00),Fiorentina,1.3,1–1,1.1,Juventus,,Stadio Artemio Franchi,Davide Massa,Match Report,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats,https://fbref.com/en/matches/75688c51/Fiorentina-Juventus-April-25-2021-Serie-A,https://fbref.com/en/matches/75688c51/Fiorentina-Juventus-April-25-2021-Serie-A
ISA,33,Sun,2021-04-25,15:00 (21:00),Inter,1.1,1–0,1.0,Hellas Verona,,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats,https://fbref.com/en/matches/584c1b77/Internazionale-Hellas-Verona-April-25-2021-Serie-A,https://fbref.com/en/matches/584c1b77/Internazionale-Hellas-Verona-April-25-2021-Serie-A
ISA,33,Sun,2021-04-25,18:00 (00:00),Cagliari,1.1,3–2,1.7,Roma,,Sardegna Arena,Massimiliano Irrati,Match Report,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats,https://fbref.com/en/matches/71d115c5/Cagliari-Roma-April-25-2021-Serie-A,https://fbref.com/en/matches/71d115c5/Cagliari-Roma-April-25-2021-Serie-A
ISA,33,Sun,2021-04-25,20:45 (02:45),Atalanta,4.2,5–0,0.8,Bologna,,Stadio Atleti Azzurri d'Italia,Michael Fabbri,Match Report,https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats,https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats,https://fbref.com/en/matches/33b047f3/Atalanta-Bologna-April-25-2021-Serie-A,https://fbref.com/en/matches/33b047f3/Atalanta-Bologna-April-25-2021-Serie-A
ISA,33,Mon,2021-04-26,18:30 (00:30),Torino,0.9,0–2,2.6,Napoli,,Stadio Olimpico di Torino,Paolo Valeri,Match Report,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/matches/ab8e85cc/Torino-Napoli-April-26-2021-Serie-A,https://fbref.com/en/matches/ab8e85cc/Torino-Napoli-April-26-2021-Serie-A
